,basin,TC_num,days_since_1980,years_since_1980,year,month,max_sw,min_sw,mean_sw,category,lat,lon,lifetime
1980-01-02 00:00:00,SP,1,1.0,0.0027378507871321013,1980,1,73.86364,34.090908,44.938023,1,-11.0,173.0,0.010951403148528405
1980-01-02 18:00:00,SP,2,1.75,0.004791238877481177,1980,1,62.5,22.727272,37.71576,0,-14.9,136.60000610351562,0.026694045174537988
1980-01-04 12:00:00,SI,3,3.5,0.009582477754962354,1980,1,130.68182,22.727272,78.154686,4,-14.5,120.5,0.022587268993839837
1980-01-18 00:00:00,SI,4,17.0,0.04654346338124572,1980,1,113.63637,28.409092,69.24035,4,-10.1,130.39999389648438,0.024640657084188913
1980-01-21 00:00:00,SI,5,20.0,0.05475701574264202,1980,1,68.181816,28.409092,43.863644,1,-9.7,89.69999694824219,0.02190280629705681
1980-01-24 06:00:00,SI,6,23.25,0.06365503080082136,1980,1,32.954544,32.954544,32.954544,-1,-11.0,76.0,0.0027378507871321013
1980-01-27 00:00:00,SI,7,26.0,0.07118412046543464,1980,1,125.0,28.409092,61.828518,4,-10.5,129.39999389648438,0.02190280629705681
1980-02-02 12:00:00,SP,8,32.5,0.08898015058179329,1980,2,45.454544,34.090908,35.81818,0,-13.6,165.0,0.008213552361396304
1980-02-11 00:00:00,SP,9,41.0,0.11225188227241616,1980,2,62.5,28.409092,38.29366,0,-18.8,150.39999389648438,0.021218343600273786
1980-02-12 00:00:00,SI,10,42.0,0.11498973305954825,1980,2,125.0,28.409092,56.099262,4,-16.3,130.89999389648438,0.01642710472279261
1980-02-20 00:00:00,SI,11,50.0,0.13689253935660506,1980,2,119.318184,22.727272,78.63637,4,-11.6,102.30000305175781,0.02190280629705681
1980-02-21 18:00:00,SP,12,51.75,0.14168377823408623,1980,2,102.27273,28.409092,67.69853,3,-17.0,153.8000030517578,0.02943189596167009
1980-03-09 00:00:00,SP,13,68.0,0.1861738535249829,1980,3,73.86364,22.727272,47.894936,1,-12.0,161.0,0.02053388090349076
1980-03-18 00:00:00,WP,15,77.0,0.2108145106091718,1980,3,30.0,15.0,23.385965,-1,6.4,140.89999389648438,0.019164955509924708
1980-03-20 00:00:00,SI,14,79.0,0.216290212183436,1980,3,102.27273,28.409092,64.86613,3,-13.7,129.39999389648438,0.024640657084188913
1980-03-22 00:00:00,SP,16,81.0,0.22176591375770022,1980,3,62.5,34.090908,40.4293,0,-12.3,172.60000610351562,0.015058179329226557
1980-03-25 12:00:00,SP,17,84.5,0.23134839151266257,1980,3,62.5,34.090908,43.560604,0,-10.0,176.5,0.006844626967830253
1980-03-27 00:00:00,WP,18,86.0,0.23545516769336072,1980,3,27.777779,27.777779,27.777777,-1,13.3,116.5,0.006160164271047228
1980-03-27 12:00:00,SP,19,86.5,0.23682409308692676,1980,3,45.454544,28.409092,33.727272,0,-14.3,139.8000030517578,0.008213552361396304
1980-04-02 00:00:00,SP,20,92.0,0.2518822724161533,1980,4,39.772728,34.090908,35.530308,0,-14.3,180.5,0.015058179329226557
1980-04-03 06:00:00,EP,22,93.25,0.25530458590006844,1980,4,33.295063,21.814007,25.049578,-1,6.0,180.6999969482422,0.0034223134839151265
1980-04-05 00:00:00,WP,21,95.0,0.2600958247775496,1980,4,61.166664,27.833334,38.833336,0,9.5,180.0,0.006502395619438741
1980-05-11 06:00:00,WP,23,131.25,0.3593429158110883,1980,5,102.83333,19.5,53.929226,3,12.0,130.5,0.024640657084188913
1980-05-13 06:00:00,WP,24,133.25,0.3648186173853525,1980,5,136.16666,27.833334,86.09817,4,7.4,144.3000030517578,0.024640657084188913
1980-05-20 06:00:00,WP,25,140.25,0.3839835728952772,1980,5,52.833332,19.5,33.01852,0,7.5,150.0,0.015058179329226557
1980-05-22 12:00:00,WP,26,142.5,0.39014373716632444,1980,5,52.833332,36.166668,43.730774,0,18.0,114.5,0.004106776180698152
1980-06-24 12:00:00,WP,27,175.5,0.4804928131416838,1980,6,44.5,19.5,28.478493,0,13.0,117.9000015258789,0.01026694045174538
1980-06-29 00:00:00,WP,28,180.0,0.4928131416837782,1980,6,33.295063,21.814007,30.628494,-1,10.4,129.0,0.01026694045174538
1980-07-07 00:00:00,WP,29,188.0,0.5147159479808351,1980,7,77.83333,27.833334,49.545048,1,14.5,136.39999389648438,0.012320328542094456
1980-07-15 18:00:00,WP,31,196.75,0.5386721423682409,1980,7,30.0,20.0,26.862068,-1,14.0,125.4000015258789,0.009582477754962354
1980-07-18 06:00:00,WP,30,199.25,0.5455167693360712,1980,7,102.83333,19.5,67.873985,3,13.7,137.5,0.013689253935660506
1980-07-21 18:00:00,WP,32,202.75,0.5550992470910335,1980,7,127.83332,19.5,60.42199,4,10.4,138.0,0.01574264202600958
1980-07-29 18:00:00,WP,33,210.75,0.5770020533880903,1980,7,86.166664,19.5,59.62657,2,24.6,149.1999969482422,0.026694045174537988
1980-08-01 00:00:00,NA,34,213.0,0.5831622176591376,1980,8,165.0,30.0,101.02299,5,10.8,325.70000076293945,0.02943189596167009
1980-08-08 06:00:00,WP,35,220.25,0.6030116358658453,1980,8,111.16666,19.5,67.86066,3,14.3,157.60000610351562,0.02053388090349076
1980-08-14 00:00:00,NA,37,226.0,0.6187542778918549,1980,8,85.0,25.0,59.87234,2,12.7,324.5,0.01574264202600958
1980-08-14 18:00:00,WP,36,226.75,0.6208076659822039,1980,8,20.0,15.0,18.4,-1,14.6,125.30000305175781,0.0013689253935660506
1980-08-20 12:00:00,NA,38,232.5,0.6365503080082136,1980,8,70.0,25.0,47.302326,1,36.0,287.0,0.014373716632443531
1980-08-25 06:00:00,WP,39,237.25,0.649555099247091,1980,8,119.49999,19.5,55.672844,4,18.9,133.3000030517578,0.00889801505817933
1980-08-26 18:00:00,WP,40,238.75,0.6536618754277892,1980,8,33.295063,21.814007,23.924042,-1,17.2,119.0,0.012320328542094456
1980-08-30 06:00:00,WP,41,242.25,0.6632443531827515,1980,8,26.40643,19.517796,24.067698,-1,9.0,133.5,0.00889801505817933
1980-09-01 00:00:00,NA,42,244.0,0.6680355920602327,1980,9,70.0,20.0,34.57143,1,15.6,322.0,0.021218343600273786
1980-09-03 18:00:00,WP,44,246.75,0.675564681724846,1980,9,33.295063,21.814007,28.702646,-1,10.5,114.0,0.006844626967830253
1980-09-04 12:00:00,NA,45,247.5,0.6776180698151951,1980,9,65.0,25.0,50.468086,1,17.7,336.0,0.01574264202600958
1980-09-04 18:00:00,NA,46,247.75,0.6783025325119781,1980,9,50.0,20.0,28.913044,0,28.3,269.4000015258789,0.007529089664613279
1980-09-06 00:00:00,NA,47,249.0,0.6817248459958932,1980,9,100.0,25.0,76.55372,3,12.5,341.0,0.04106776180698152
1980-09-07 00:00:00,WP,43,250.0,0.6844626967830253,1980,9,77.83333,27.833334,63.21794,1,18.0,142.6999969482422,0.013004791238877482
1980-09-14 00:00:00,WP,50,257.0,0.70362765229295,1980,9,127.83332,27.833334,71.85042,4,18.0,132.0,0.013004791238877482
1980-09-14 00:00:00,WP,48,257.0,0.70362765229295,1980,9,52.833332,19.5,34.794113,0,19.0,113.0,0.0054757015742642025
1980-09-15 06:00:00,WP,49,258.25,0.7070499657768652,1980,9,69.5,19.5,45.486397,1,20.6,146.0,0.01642710472279261
1980-09-20 12:00:00,NA,51,263.5,0.7214236824093087,1980,9,60.0,25.0,44.555557,0,14.6,282.8000030517578,0.015058179329226557
1980-09-25 06:00:00,WP,52,268.25,0.7344284736481862,1980,9,33.295063,21.814007,29.9716,-1,14.2,146.0,0.006160164271047228
1980-09-27 18:00:00,WP,53,270.75,0.7412731006160165,1980,9,52.833332,27.833334,41.40476,0,22.1,142.1999969482422,0.006844626967830253
1980-09-28 18:00:00,WP,54,271.75,0.7440109514031485,1980,9,119.49999,27.833334,83.60257,4,14.5,156.0,0.013004791238877482
1980-10-01 00:00:00,NA,55,274.0,0.7501711156741958,1980,10,90.0,25.0,60.707867,2,33.6,340.0,0.030116358658453114
1980-10-03 18:00:00,WP,56,276.75,0.757700205338809,1980,10,161.16666,27.833334,89.294,5,5.6,153.0,0.030116358658453114
1980-10-13 06:00:00,WP,57,286.25,0.783709787816564,1980,10,19.5,19.5,19.5,-1,27.2,140.5,0.0013689253935660506
1980-10-29 00:00:00,WP,58,302.0,0.8268309377138946,1980,10,127.83332,19.5,74.803024,4,7.8,154.1999969482422,0.026009582477754964
1980-10-30 00:00:00,WP,59,303.0,0.8295687885010267,1980,10,36.166668,19.5,26.963766,0,16.1,117.0,0.007529089664613279
1980-11-03 06:00:00,SI,60,307.25,0.8412046543463382,1980,11,119.318184,22.727272,72.102264,4,-4.9,102.0,0.020191649555099247
1980-11-07 18:00:00,NA,61,311.75,0.8535249828884326,1980,11,85.0,20.0,45.115944,2,13.6,277.4000015258789,0.02327173169062286
1980-11-12 12:00:00,WP,62,316.5,0.86652977412731,1980,11,33.295063,21.814007,29.415258,-1,11.3,116.80000305175781,0.009582477754962354
1980-11-21 06:00:00,WP,63,325.25,0.890485968514716,1980,11,111.16666,19.5,75.64286,3,10.0,157.8000030517578,0.01163586584531143
1980-11-25 00:00:00,NA,65,329.0,0.9007529089664613,1980,11,75.0,50.0,65.2,1,36.0,314.0,0.008213552361396304
1980-11-27 00:00:00,SP,66,331.0,0.9062286105407256,1980,11,45.454544,34.090908,38.557995,0,-16.2,213.6999969482422,0.009582477754962354
1980-12-02 12:00:00,SI,64,336.5,0.921286789869952,1980,12,65.0,65.0,65.0,1,-15.0,84.0,0.0027378507871321013
1980-12-12 00:00:00,SI,67,346.0,0.947296372347707,1980,12,62.5,22.727272,36.764706,0,-10.8,122.30000305175781,0.0054757015742642025
